/SUB_TOP_R (plaintext=91) X,/SUB_TOP_R (plaintext=91) Y
0,4.368331010519431e-05
5e-11,4.405779562244656e-05
9.999999999999999e-11,4.444072209813317e-05
1.5e-10,4.44373936660319e-05
2e-10,4.443848849774292e-05
2.5e-10,4.443854915143939e-05
2.999999999999999e-10,4.443855173419092e-05
3.499999999999999e-10,4.443855177583609e-05
3.999999999999999e-10,4.443855117933555e-05
4.499999999999999e-10,4.443855272311579e-05
4.999999999999999e-10,4.443855062063048e-05
5.5e-10,4.443855329536575e-05
6e-10,4.443854982825436e-05
6.5e-10,4.443855304901403e-05
7.000000000000001e-10,4.443854895623878e-05
7.500000000000001e-10,4.443855254103557e-05
8.000000000000001e-10,4.443855013818206e-05
8.500000000000002e-10,4.443855187535998e-05
9.000000000000002e-10,4.443854917002566e-05
9.500000000000002e-10,4.443855174244815e-05
1e-09,4.443855431487063e-05
1.05e-09,4.443855036936755e-05
1.1e-09,4.443855031018959e-05
1.15e-09,4.443855271445259e-05
1.2e-09,4.443855393437228e-05
1.25e-09,4.443855274571476e-05
1.3e-09,4.443855155705725e-05
1.350000000000001e-09,4.443855036839973e-05
1.400000000000001e-09,4.443854917974221e-05
1.450000000000001e-09,4.443854936621581e-05
1.500000000000001e-09,4.443855031919782e-05
1.550000000000001e-09,4.443855127217983e-05
1.600000000000001e-09,4.443855222516183e-05
1.650000000000001e-09,4.443855317814384e-05
1.700000000000001e-09,4.443855413112584e-05
1.750000000000001e-09,4.443855352365287e-05
1.800000000000001e-09,4.443855257606619e-05
1.850000000000001e-09,4.443855162847951e-05
1.900000000000001e-09,4.443855068089284e-05
1.950000000000001e-09,4.443854973330616e-05
2.000000000000001e-09,4.443854878571948e-05
2.050000000000001e-09,4.438080365271978e-05
2.100000000000001e-09,4.375120167738187e-05
2.150000000000001e-09,4.36874176670021e-05
2.200000000000001e-09,4.368355492638342e-05
2.250000000000001e-09,4.368333075183173e-05
2.300000000000001e-09,4.368330558536468e-05
2.350000000000001e-09,4.368331652833955e-05
2.400000000000001e-09,4.368330918813288e-05
2.450000000000001e-09,4.368331024796204e-05
2.500000000000001e-09,4.368331137072548e-05
2.550000000000001e-09,4.368330743868003e-05
2.600000000000001e-09,4.368331237272401e-05
2.650000000000001e-09,4.368330756636297e-05
2.700000000000001e-09,4.368331281684739e-05
2.750000000000001e-09,4.368330878122735e-05
2.800000000000001e-09,4.368331166232625e-05
2.850000000000002e-09,4.368330967354511e-05
2.900000000000002e-09,4.368331083737333e-05
2.950000000000002e-09,4.368331012947498e-05
3.000000000000002e-09,4.368330942157663e-05
