/SUB_TOP_R (plaintext=139) X,/SUB_TOP_R (plaintext=139) Y
0,4.340116329760849e-05
4e-11,4.340160344156189e-05
8e-11,4.439734280760175e-05
1.2e-10,4.430056251194016e-05
1.6e-10,4.430483788123401e-05
2e-10,4.430552231870348e-05
2.4e-10,4.430560657660043e-05
2.8e-10,4.430560183841344e-05
3.2e-10,4.430560224638302e-05
3.6e-10,4.430560227707371e-05
4.000000000000001e-10,4.43056061527397e-05
4.400000000000001e-10,4.430560037802618e-05
4.800000000000001e-10,4.430560880568567e-05
5.200000000000001e-10,4.430559923910491e-05
5.6e-10,4.430561213933777e-05
6e-10,4.430559740618576e-05
6.4e-10,4.430561579482608e-05
6.799999999999999e-10,4.430559564578067e-05
7.199999999999999e-10,4.430561541809475e-05
7.599999999999999e-10,4.430559510754315e-05
7.999999999999998e-10,4.430559745147494e-05
8.399999999999998e-10,4.430560724815023e-05
8.799999999999998e-10,4.43056143867777e-05
9.199999999999997e-10,4.430560951721151e-05
9.599999999999998e-10,4.430560464764531e-05
9.999999999999999e-10,4.430559977807912e-05
1.04e-09,4.430559490851293e-05
1.08e-09,4.430559061003625e-05
1.12e-09,4.430560046405461e-05
1.16e-09,4.430561031807297e-05
1.2e-09,4.430561325246296e-05
1.24e-09,4.430560830713795e-05
1.28e-09,4.430560336181294e-05
1.32e-09,4.430559841648792e-05
1.36e-09,4.430559347116291e-05
1.400000000000001e-09,4.430559120904622e-05
1.440000000000001e-09,4.430559451683126e-05
1.480000000000001e-09,4.430559782461631e-05
1.520000000000001e-09,4.430560113240136e-05
1.560000000000001e-09,4.430560444018641e-05
1.600000000000001e-09,4.430560774797146e-05
1.640000000000001e-09,4.430561105575651e-05
1.680000000000001e-09,4.430561436354156e-05
1.720000000000001e-09,4.430561329061324e-05
1.760000000000001e-09,4.430560998657366e-05
1.800000000000001e-09,4.430560668253409e-05
1.840000000000001e-09,4.430560337849452e-05
1.880000000000001e-09,4.430560007445495e-05
1.920000000000001e-09,4.430559677041537e-05
1.960000000000001e-09,4.43055934663758e-05
2.000000000000001e-09,4.430559016233623e-05
2.040000000000001e-09,4.435619377423966e-05
2.080000000000001e-09,4.351106818467507e-05
2.120000000000001e-09,4.341179408734947e-05
2.16e-09,4.340234436212976e-05
2.2e-09,4.340130182991719e-05
2.24e-09,4.340118015230909e-05
2.28e-09,4.340116426078047e-05
2.32e-09,4.340115441990062e-05
2.36e-09,4.340116338658709e-05
2.4e-09,4.340117235327356e-05
2.439999999999999e-09,4.340115966882008e-05
2.479999999999999e-09,4.340115867206002e-05
2.519999999999999e-09,4.340116674414381e-05
2.559999999999999e-09,4.340116891604306e-05
2.599999999999999e-09,4.340115345874708e-05
2.639999999999999e-09,4.340116188834636e-05
2.679999999999999e-09,4.340117031794565e-05
2.719999999999998e-09,4.340116223383045e-05
2.759999999999998e-09,4.340115660985911e-05
2.799999999999998e-09,4.340116536829516e-05
2.839999999999998e-09,4.34011728336195e-05
2.879999999999998e-09,4.340115503320794e-05
2.919999999999998e-09,4.340116004466541e-05
2.959999999999998e-09,4.340116907835996e-05
2.999999999999997e-09,4.340116573291941e-05
3.039999999999997e-09,4.340115443323969e-05
3.079999999999997e-09,4.340116364434448e-05
3.119999999999997e-09,4.340117285544927e-05
3.159999999999997e-09,4.340115908010121e-05
3.199999999999997e-09,4.34011586039282e-05
3.239999999999997e-09,4.340116700588265e-05
3.279999999999997e-09,4.34011721379256e-05
3.319999999999996e-09,4.340116803338979e-05
3.359999999999996e-09,4.340116392885398e-05
3.399999999999996e-09,4.340115982431818e-05
3.439999999999996e-09,4.340115571978237e-05
3.479999999999996e-09,4.340115489493129e-05
3.519999999999996e-09,4.340115781128887e-05
3.559999999999996e-09,4.340116072764645e-05
3.599999999999995e-09,4.340116364400403e-05
3.639999999999995e-09,4.340116656036161e-05
3.679999999999995e-09,4.340116947671918e-05
3.719999999999995e-09,4.340117239307676e-05
3.759999999999995e-09,4.340117102772935e-05
3.799999999999995e-09,4.340116810725061e-05
3.839999999999995e-09,4.340116518677187e-05
3.879999999999995e-09,4.340116226629313e-05
3.919999999999995e-09,4.340115934581439e-05
3.959999999999995e-09,4.340115642533564e-05
3.999999999999994e-09,4.34011535048569e-05
4.039999999999994e-09,4.340437868850008e-05
4.079999999999994e-09,4.43960917690475e-05
4.119999999999994e-09,4.430060214640149e-05
4.159999999999994e-09,4.430483537355225e-05
4.199999999999994e-09,4.43055308919699e-05
4.239999999999994e-09,4.430559961615108e-05
4.279999999999993e-09,4.430560803459127e-05
4.319999999999993e-09,4.430558567005669e-05
4.359999999999993e-09,4.430561375822207e-05
4.399999999999993e-09,4.430559158915577e-05
4.439999999999993e-09,4.430561748669093e-05
4.479999999999993e-09,4.430559605037127e-05
4.519999999999993e-09,4.430561233969127e-05
4.559999999999993e-09,4.430560026676175e-05
4.599999999999992e-09,4.43056037416762e-05
4.639999999999992e-09,4.430560467514931e-05
4.679999999999992e-09,4.43055949076208e-05
4.719999999999992e-09,4.430560905406428e-05
4.759999999999992e-09,4.430558724626827e-05
4.799999999999992e-09,4.430559754059683e-05
4.839999999999992e-09,4.430560832352467e-05
