/SUB_TOP_R (plaintext=76) X,/SUB_TOP_R (plaintext=76) Y
0,4.417811275199154e-05
5e-11,4.456010139541943e-05
9.999999999999999e-11,4.479772178302979e-05
1.5e-10,4.477643107309042e-05
2e-10,4.477753691595645e-05
2.5e-10,4.477758223277184e-05
2.999999999999999e-10,4.477758243154346e-05
3.499999999999999e-10,4.477758813944903e-05
3.999999999999999e-10,4.477758943098921e-05
4.499999999999999e-10,4.477758870524802e-05
4.999999999999999e-10,4.47775880613076e-05
5.5e-10,4.477758768542299e-05
6e-10,4.47775879422315e-05
6.5e-10,4.477758761189825e-05
7.000000000000001e-10,4.477758817815262e-05
7.500000000000001e-10,4.477758794925679e-05
8.000000000000001e-10,4.477758761466902e-05
8.500000000000002e-10,4.477758734911529e-05
9.000000000000002e-10,4.477758734267238e-05
9.500000000000002e-10,4.477758772394849e-05
1e-09,4.477758813738219e-05
1.05e-09,4.477758831907986e-05
1.1e-09,4.477758806942917e-05
1.15e-09,4.477758781977849e-05
1.2e-09,4.477758757012781e-05
1.25e-09,4.477758732047713e-05
1.3e-09,4.477758728780729e-05
1.350000000000001e-09,4.47775881143316e-05
1.400000000000001e-09,4.477758839874084e-05
1.450000000000001e-09,4.47775879539465e-05
1.500000000000001e-09,4.477758750915215e-05
1.550000000000001e-09,4.477758706435781e-05
1.600000000000001e-09,4.477758733005988e-05
1.650000000000001e-09,4.477758769632162e-05
1.700000000000001e-09,4.477758806258336e-05
1.750000000000001e-09,4.47775884288451e-05
1.800000000000001e-09,4.477758845756992e-05
1.850000000000001e-09,4.477758805321166e-05
1.900000000000001e-09,4.47775876488534e-05
1.950000000000001e-09,4.477758724449515e-05
2.000000000000001e-09,4.477758684013689e-05
2.050000000000001e-09,4.470353006592599e-05
2.100000000000001e-09,4.427678405580403e-05
2.150000000000001e-09,4.418484703850799e-05
2.200000000000001e-09,4.417873360282951e-05
2.250000000000001e-09,4.417813752941263e-05
2.300000000000001e-09,4.417811676398127e-05
2.350000000000001e-09,4.417810959813873e-05
2.400000000000001e-09,4.417811594816813e-05
2.450000000000001e-09,4.417811084747194e-05
2.500000000000001e-09,4.417811487462491e-05
2.550000000000001e-09,4.417811112869239e-05
2.600000000000001e-09,4.417811433663342e-05
2.650000000000001e-09,4.417811144878814e-05
2.700000000000001e-09,4.417811390925937e-05
2.750000000000001e-09,4.417811169064682e-05
2.800000000000001e-09,4.417811359537101e-05
2.850000000000002e-09,4.417811248848945e-05
2.900000000000002e-09,4.417811298804908e-05
2.950000000000002e-09,4.417811277454793e-05
3.000000000000002e-09,4.417811272518213e-05
3.050000000000002e-09,4.417811275425974e-05
3.100000000000002e-09,4.417811278331961e-05
3.150000000000002e-09,4.417811278161801e-05
3.200000000000002e-09,4.41781127799164e-05
3.250000000000002e-09,4.41781127782148e-05
3.300000000000002e-09,4.417811277651319e-05
3.350000000000002e-09,4.417811305959581e-05
3.400000000000002e-09,4.417811359510925e-05
3.450000000000002e-09,4.417811324935463e-05
3.500000000000002e-09,4.417811273429883e-05
3.550000000000002e-09,4.417811221924304e-05
3.600000000000002e-09,4.417811210989612e-05
3.650000000000002e-09,4.417811248392865e-05
3.700000000000002e-09,4.417811285796118e-05
3.750000000000002e-09,4.417811323199371e-05
3.800000000000002e-09,4.417811342990028e-05
3.850000000000001e-09,4.417811303199243e-05
3.900000000000001e-09,4.417811263408457e-05
3.950000000000001e-09,4.417811223617672e-05
4e-09,4.417811183826886e-05
4.05e-09,4.455838422093327e-05
4.099999999999999e-09,4.479729040201665e-05
4.149999999999999e-09,4.477642450788253e-05
4.199999999999999e-09,4.47775469064798e-05
4.249999999999998e-09,4.4777582011722e-05
4.299999999999998e-09,4.477758214345927e-05
4.349999999999998e-09,4.477758594686377e-05
4.399999999999997e-09,4.477758838636702e-05
4.449999999999997e-09,4.477758881906939e-05
4.499999999999996e-09,4.477758836877608e-05
4.549999999999996e-09,4.477758755938315e-05
4.599999999999996e-09,4.477758761737697e-05
4.649999999999995e-09,4.477758772956073e-05
4.699999999999995e-09,4.477758851233817e-05
4.749999999999995e-09,4.477758785839367e-05
4.799999999999994e-09,4.477758720444916e-05
4.849999999999994e-09,4.477758727496136e-05
4.899999999999993e-09,4.477758795085223e-05
4.949999999999993e-09,4.477758808295514e-05
4.999999999999993e-09,4.477758712548764e-05
5.049999999999992e-09,4.419569340894412e-05
5.099999999999992e-09,4.41957893590242e-05
5.149999999999992e-09,4.419580471992407e-05
5.199999999999991e-09,4.419578212248587e-05
5.249999999999991e-09,4.419579352247573e-05
5.29999999999999e-09,4.419580611786593e-05
5.34999999999999e-09,4.419580297138752e-05
5.39999999999999e-09,4.419579530733113e-05
5.449999999999989e-09,4.419578764327475e-05
5.499999999999989e-09,4.419578270125369e-05
5.549999999999988e-09,4.419578733930666e-05
5.599999999999988e-09,4.419579197735963e-05
5.649999999999988e-09,4.41957966154126e-05
5.699999999999987e-09,4.419580125346557e-05
5.749999999999987e-09,4.419580589151854e-05
5.799999999999987e-09,4.419580634752487e-05
5.849999999999986e-09,4.419580022228535e-05
5.899999999999986e-09,4.419579409704582e-05
5.949999999999985e-09,4.419578797180629e-05
5.999999999999985e-09,4.419578184656677e-05
6.049999999999985e-09,4.415660456786488e-05
6.099999999999984e-09,4.332822986807431e-05
6.149999999999984e-09,4.323321644725413e-05
6.199999999999984e-09,4.322702621371132e-05
6.249999999999983e-09,4.322646497951824e-05
6.299999999999983e-09,4.322634804932456e-05
6.349999999999982e-09,4.322641404966633e-05
6.399999999999982e-09,4.322642631009811e-05
6.449999999999982e-09,4.322639064294067e-05
6.499999999999981e-09,4.322635497578324e-05
6.549999999999981e-09,4.322639617580373e-05
6.599999999999981e-09,4.322642585240278e-05
6.64999999999998e-09,4.322638740498916e-05
6.69999999999998e-09,4.322634895757554e-05
6.749999999999979e-09,4.322641652120101e-05
6.799999999999979e-09,4.322641621706169e-05
6.849999999999979e-09,4.322637781121986e-05
6.899999999999978e-09,4.322635890737389e-05
6.949999999999978e-09,4.322643595133883e-05
6.999999999999977e-09,4.322640674012811e-05
7.049999999999977e-09,4.322636812574768e-05
7.099999999999977e-09,4.322637800255896e-05
7.149999999999976e-09,4.322643583208381e-05
7.199999999999976e-09,4.32263971416679e-05
7.249999999999976e-09,4.322635845125199e-05
7.299999999999975e-09,4.322639723715948e-05
7.349999999999975e-09,4.322642621199522e-05
7.399999999999974e-09,4.322638763418791e-05
7.449999999999974e-09,4.32263490563806e-05
