/SUB_TOP_R (plaintext=51) X,/SUB_TOP_R (plaintext=51) Y
0,4.384086525829072e-05
5e-11,4.41973860019825e-05
9.999999999999999e-11,4.46063890895486e-05
1.5e-10,4.460220469062504e-05
2e-10,4.460328499148967e-05
2.5e-10,4.460334991912348e-05
2.999999999999999e-10,4.460335901702382e-05
3.499999999999999e-10,4.460335394610314e-05
3.999999999999999e-10,4.460335845742181e-05
4.499999999999999e-10,4.460335621096945e-05
4.999999999999999e-10,4.460335694780187e-05
5.5e-10,4.460335598889219e-05
6e-10,4.460335724989109e-05
6.5e-10,4.460335576546734e-05
7.000000000000001e-10,4.460335615315922e-05
7.500000000000001e-10,4.460335840966799e-05
8.000000000000001e-10,4.460335442846829e-05
8.500000000000002e-10,4.460335576418559e-05
9.000000000000002e-10,4.460335828507058e-05
9.500000000000002e-10,4.46033552642834e-05
1e-09,4.460335566629415e-05
1.05e-09,4.460335878767219e-05
1.1e-09,4.460335810837046e-05
1.15e-09,4.460335652934745e-05
1.2e-09,4.460335495032445e-05
1.25e-09,4.460335342390033e-05
1.3e-09,4.460335434308702e-05
1.350000000000001e-09,4.46033552622737e-05
1.400000000000001e-09,4.460335618146039e-05
1.450000000000001e-09,4.460335710064707e-05
1.500000000000001e-09,4.460335801983376e-05
1.550000000000001e-09,4.460335893902045e-05
1.600000000000001e-09,4.460335798410375e-05
1.650000000000001e-09,4.460335512778211e-05
1.700000000000001e-09,4.460335405394908e-05
1.750000000000001e-09,4.460335598555297e-05
1.800000000000001e-09,4.460335791715686e-05
1.850000000000001e-09,4.460335912597475e-05
1.900000000000001e-09,4.460335717464152e-05
1.950000000000001e-09,4.460335522330829e-05
2.000000000000001e-09,4.460335327197506e-05
2.050000000000001e-09,4.454765301277387e-05
2.100000000000001e-09,4.3910005599278e-05
2.150000000000001e-09,4.384520776154504e-05
2.200000000000001e-09,4.384113019052583e-05
2.250000000000001e-09,4.384088574267293e-05
2.300000000000001e-09,4.384086615357204e-05
2.350000000000001e-09,4.384085872192832e-05
2.400000000000001e-09,4.38408716087123e-05
2.450000000000001e-09,4.384086366287157e-05
2.500000000000001e-09,4.384086475581134e-05
2.550000000000001e-09,4.384086782880341e-05
2.600000000000001e-09,4.384086341762853e-05
2.650000000000001e-09,4.384086634253225e-05
2.700000000000001e-09,4.384086557279792e-05
2.750000000000001e-09,4.384086587512345e-05
2.800000000000001e-09,4.384086447444773e-05
2.850000000000002e-09,4.384086529930497e-05
2.900000000000002e-09,4.38408657164052e-05
2.950000000000002e-09,4.384086452961761e-05
3.000000000000002e-09,4.384086462310254e-05
3.050000000000002e-09,4.384086518642836e-05
3.100000000000002e-09,4.384086574975419e-05
3.150000000000002e-09,4.384086631308001e-05
3.200000000000002e-09,4.384086511662735e-05
3.250000000000002e-09,4.384086452029851e-05
3.300000000000002e-09,4.384086506183981e-05
3.350000000000002e-09,4.384086560338111e-05
3.400000000000002e-09,4.384086611563603e-05
3.450000000000002e-09,4.384086584813575e-05
3.500000000000002e-09,4.384086558063548e-05
3.550000000000002e-09,4.384086531313521e-05
3.600000000000002e-09,4.384086504563494e-05
3.650000000000002e-09,4.384086477813467e-05
3.700000000000002e-09,4.384086451063439e-05
3.750000000000002e-09,4.384086449140449e-05
3.800000000000002e-09,4.384086481799396e-05
3.850000000000001e-09,4.384086514458341e-05
3.900000000000001e-09,4.384086547117287e-05
3.950000000000001e-09,4.384086579776233e-05
4e-09,4.384086612435179e-05
4.05e-09,4.420336478554312e-05
4.099999999999999e-09,4.460675630702299e-05
4.149999999999999e-09,4.460216804727695e-05
4.199999999999999e-09,4.460329429252594e-05
4.249999999999998e-09,4.460335559412682e-05
4.299999999999998e-09,4.460335632882987e-05
4.349999999999998e-09,4.460335709502183e-05
4.399999999999997e-09,4.460335561214899e-05
4.449999999999997e-09,4.460335812836043e-05
4.499999999999996e-09,4.460335536151015e-05
4.549999999999996e-09,4.460335715815393e-05
4.599999999999996e-09,4.460335534881086e-05
4.649999999999995e-09,4.460335668090049e-05
4.699999999999995e-09,4.460335589025657e-05
4.749999999999995e-09,4.46033565085504e-05
4.799999999999994e-09,4.460335638022134e-05
4.849999999999994e-09,4.460335633105187e-05
4.899999999999993e-09,4.460335631312877e-05
4.949999999999993e-09,4.46033566392691e-05
4.999999999999993e-09,4.460335596445331e-05
5.049999999999992e-09,4.402307885059597e-05
5.099999999999992e-09,4.402306349256596e-05
5.149999999999992e-09,4.402293634805521e-05
5.199999999999991e-09,4.402308197477396e-05
5.249999999999991e-09,4.402285590574559e-05
5.29999999999999e-09,4.402282492521628e-05
5.34999999999999e-09,4.402294294715854e-05
5.39999999999999e-09,4.40230609691008e-05
5.449999999999989e-09,4.40231636190606e-05
5.499999999999989e-09,4.402309204890586e-05
5.549999999999988e-09,4.402302047875112e-05
5.599999999999988e-09,4.402294890859639e-05
5.649999999999988e-09,4.402287733844165e-05
5.699999999999987e-09,4.402280576828691e-05
5.749999999999987e-09,4.402278330872093e-05
5.799999999999987e-09,4.402286056286255e-05
5.849999999999986e-09,4.402293781700416e-05
5.899999999999986e-09,4.402301507114578e-05
5.949999999999985e-09,4.40230923252874e-05
5.999999999999985e-09,4.402316957942901e-05
6.049999999999985e-09,4.399713307600013e-05
6.099999999999984e-09,4.319323821712719e-05
6.149999999999984e-09,4.312962230875501e-05
6.199999999999984e-09,4.312616057213064e-05
6.249999999999983e-09,4.312583703673909e-05
6.299999999999983e-09,4.312586100249124e-05
6.349999999999982e-09,4.312583617008614e-05
6.399999999999982e-09,4.312584769318882e-05
6.449999999999982e-09,4.312584588393979e-05
6.499999999999981e-09,4.312582952562592e-05
6.549999999999981e-09,4.312585545469116e-05
6.599999999999981e-09,4.312582916839537e-05
6.64999999999998e-09,4.312586315278384e-05
6.69999999999998e-09,4.312583853600273e-05
6.749999999999979e-09,4.312584389226944e-05
6.799999999999979e-09,4.312584839106237e-05
6.849999999999979e-09,4.312582380217073e-05
6.899999999999978e-09,4.312585861315934e-05
6.949999999999978e-09,4.312583063672985e-05
6.999999999999977e-09,4.312585952681003e-05
7.049999999999977e-09,4.312584070483933e-05
7.099999999999977e-09,4.312582575004102e-05
7.149999999999976e-09,4.312583972789648e-05
7.199999999999976e-09,4.312585370575192e-05
7.249999999999976e-09,4.312585914664059e-05
7.299999999999975e-09,4.312582208596108e-05
7.349999999999975e-09,4.312583972990727e-05
7.399999999999974e-09,4.312585815225279e-05
7.449999999999974e-09,4.312585938206449e-05
7.499999999999975e-09,4.312585022492475e-05
7.549999999999975e-09,4.312584106778501e-05
7.599999999999975e-09,4.312583191064526e-05
7.649999999999976e-09,4.312582275350552e-05
7.699999999999976e-09,4.312582747468568e-05
7.749999999999977e-09,4.31258337687568e-05
7.799999999999977e-09,4.312584006282792e-05
7.849999999999978e-09,4.312584635689903e-05
7.899999999999978e-09,4.312585265097015e-05
7.949999999999979e-09,4.312585894504127e-05
7.999999999999979e-09,4.312586523911239e-05
8.049999999999979e-09,4.344934617026712e-05
8.09999999999998e-09,4.616388041046195e-05
8.14999999999998e-09,4.664204812697245e-05
8.199999999999981e-09,4.664178704400563e-05
8.249999999999981e-09,4.664169443576517e-05
8.299999999999982e-09,4.664170798986259e-05
8.349999999999982e-09,4.664169106067006e-05
8.399999999999983e-09,4.664171015854716e-05
8.449999999999983e-09,4.664169760450768e-05
8.499999999999983e-09,4.664169629600188e-05
8.549999999999984e-09,4.664170451526158e-05
8.599999999999984e-09,4.664168691720691e-05
8.649999999999985e-09,4.664171123545697e-05
8.699999999999985e-09,4.664169384886588e-05
8.749999999999986e-09,4.664170395613192e-05
8.799999999999986e-09,4.664170061021528e-05
8.849999999999987e-09,4.664169058869473e-05
8.899999999999987e-09,4.664170721373866e-05
8.949999999999987e-09,4.664169017183661e-05
8.999999999999988e-09,4.664171140563381e-05
9.049999999999988e-09,4.664169682122413e-05
9.099999999999989e-09,4.664168903210033e-05
9.149999999999989e-09,4.664169759952446e-05
9.19999999999999e-09,4.664170616694859e-05
9.24999999999999e-09,4.664171003775526e-05
9.299999999999991e-09,4.664169151756309e-05
9.349999999999991e-09,4.664169217990406e-05
9.399999999999992e-09,4.664170151088345e-05
9.449999999999992e-09,4.664171084186285e-05
9.499999999999992e-09,4.664171008317083e-05
9.549999999999993e-09,4.66417053906261e-05
9.599999999999993e-09,4.664170069808138e-05
9.649999999999994e-09,4.664169600553665e-05
9.699999999999994e-09,4.664169131299193e-05
