TP4_2 (interpolated wth step=4e-11) X,TP4_2 (interpolated wth step=4e-11) Y
0,0.8451117448697191
4e-11,0.8474006736180509
8e-11,0.8693215071008884
1.2e-10,0.8734778664004315
1.6e-10,0.8747583448573824
2e-10,0.8751407463732527
2.4e-10,0.8752584959695142
2.8e-10,0.8752923751389077
3.2e-10,0.8753045923389445
3.6e-10,0.8753046448773815
4.000000000000001e-10,0.8753045861188906
4.400000000000001e-10,0.875304522142244
4.800000000000001e-10,0.8753045308557292
5.200000000000001e-10,0.8753045293826214
5.6e-10,0.8753045260027348
6e-10,0.8753045305937321
6.4e-10,0.8753045269526362
6.799999999999999e-10,0.8753045271635852
7.199999999999999e-10,0.8753045315140067
7.599999999999999e-10,0.8753045425330641
7.999999999999998e-10,0.8753045406927562
8.399999999999998e-10,0.8753045417877003
8.799999999999998e-10,0.875304544765974
9.199999999999997e-10,0.8753045476512126
9.599999999999998e-10,0.8753045441725886
9.999999999999999e-10,0.8753045375533665
1.04e-09,0.8746786129441668
1.08e-09,0.860098996436834
1.12e-09,0.8504587817293837
1.16e-09,0.8467368827752615
1.2e-09,0.8456056165959011
1.24e-09,0.8452458856202375
1.28e-09,0.8451504038944841
1.32e-09,0.8451161617403971
1.36e-09,0.8451128801965211
1.400000000000001e-09,0.8451120365674821
1.440000000000001e-09,0.8451117931262616
1.480000000000001e-09,0.8451117490048282
1.520000000000001e-09,0.8451117677071376
1.560000000000001e-09,0.8451117158561695
1.600000000000001e-09,0.8451117463587964
1.640000000000001e-09,0.8451117559800344
1.680000000000001e-09,0.8451117308400485
1.720000000000001e-09,0.8451117384695949
1.760000000000001e-09,0.8451117604968065
1.800000000000001e-09,0.8451117595964827
1.840000000000001e-09,0.8451117451606839
1.880000000000001e-09,0.845111730724885
1.920000000000001e-09,0.8451117292978921
1.960000000000001e-09,0.8451117505105695
2.000000000000001e-09,0.8451117717232469
2.040000000000001e-09,0.847397345230115
2.080000000000001e-09,0.8693200739272755
2.120000000000001e-09,0.8734774269432536
2.16e-09,0.8747586681633385
2.2e-09,0.8751407528034308
2.24e-09,0.87525857676283
2.28e-09,0.8752923238085604
2.32e-09,0.8753047131021586
2.36e-09,0.8753046472224639
2.4e-09,0.875304573123488
2.439999999999999e-09,0.875304534967858
2.479999999999999e-09,0.8753045263072752
2.519999999999999e-09,0.8753045319517266
2.559999999999999e-09,0.8753045269465587
2.599999999999999e-09,0.8753045218526617
2.639999999999999e-09,0.8753045337307186
2.679999999999999e-09,0.8753045104737252
2.719999999999998e-09,0.8753045454552387
2.759999999999998e-09,0.8753045327591114
2.799999999999998e-09,0.8753045605473397
2.839999999999998e-09,0.875304539985146
2.879999999999998e-09,0.8753045354699986
2.919999999999998e-09,0.8753045599612739
2.959999999999998e-09,0.875304546861097
2.999999999999997e-09,0.8753045185052948
3.039999999999997e-09,0.8746785130373054
3.079999999999997e-09,0.8600988937213069
3.119999999999997e-09,0.8504587156682001
3.159999999999997e-09,0.8467366885801025
3.199999999999997e-09,0.8456055891862281
