/SUB_TOP_R (plaintext=128) X,/SUB_TOP_R (plaintext=128) Y
0,4.393946097040902e-05
5e-11,4.42458774115423e-05
9.999999999999999e-11,4.472432054229333e-05
1.5e-10,4.471602884738367e-05
2e-10,4.471727828369257e-05
2.5e-10,4.471734685016913e-05
2.999999999999999e-10,4.471734554400334e-05
3.499999999999999e-10,4.471735858903034e-05
3.999999999999999e-10,4.471734247519076e-05
4.499999999999999e-10,4.471735779839939e-05
4.999999999999999e-10,4.471734077439769e-05
5.5e-10,4.471735436070471e-05
6e-10,4.471734038450349e-05
6.5e-10,4.471735161141063e-05
7.000000000000001e-10,4.471734527106431e-05
7.500000000000001e-10,4.471734943821645e-05
8.000000000000001e-10,4.471734916951378e-05
8.500000000000002e-10,4.471734765533293e-05
9.000000000000002e-10,4.471735235975663e-05
9.500000000000002e-10,4.471734622578553e-05
1e-09,4.471735497905339e-05
1.05e-09,4.471735069046984e-05
1.1e-09,4.471734640188629e-05
1.15e-09,4.471734281032001e-05
1.2e-09,4.471734540422031e-05
1.25e-09,4.47173479981206e-05
1.3e-09,4.47173505920209e-05
1.350000000000001e-09,4.47173531859212e-05
1.400000000000001e-09,4.471735450754344e-05
1.450000000000001e-09,4.471735242578434e-05
1.500000000000001e-09,4.471735034402523e-05
1.550000000000001e-09,4.471734826226612e-05
1.600000000000001e-09,4.471734618050701e-05
1.650000000000001e-09,4.47173440987479e-05
1.700000000000001e-09,4.471734258432423e-05
1.750000000000001e-09,4.471734467251404e-05
1.800000000000001e-09,4.471734676070384e-05
1.850000000000001e-09,4.471734884889365e-05
1.900000000000001e-09,4.471735093708346e-05
1.950000000000001e-09,4.471735302527327e-05
2.000000000000001e-09,4.471735511346308e-05
2.050000000000001e-09,4.465795568155864e-05
2.100000000000001e-09,4.399985332747098e-05
2.150000000000001e-09,4.394336028304944e-05
2.200000000000001e-09,4.393972585851593e-05
2.250000000000001e-09,4.393948073863551e-05
2.300000000000001e-09,4.393946122523715e-05
2.350000000000001e-09,4.393946061492974e-05
2.400000000000001e-09,4.393946114734897e-05
2.450000000000001e-09,4.393946013519432e-05
2.500000000000001e-09,4.393946159293563e-05
2.550000000000001e-09,4.39394605196051e-05
2.600000000000001e-09,4.39394612071485e-05
2.650000000000001e-09,4.393946101300155e-05
2.700000000000001e-09,4.393946025466537e-05
2.750000000000001e-09,4.393946156167231e-05
2.800000000000001e-09,4.393946051427698e-05
2.850000000000002e-09,4.393946166383262e-05
2.900000000000002e-09,4.393946098843716e-05
2.950000000000002e-09,4.393946031304171e-05
3.000000000000002e-09,4.393946039338763e-05
3.050000000000002e-09,4.393946058190592e-05
3.100000000000002e-09,4.393946077042421e-05
3.150000000000002e-09,4.393946095790699e-05
3.200000000000002e-09,4.393946114162061e-05
3.250000000000002e-09,4.393946116623587e-05
3.300000000000002e-09,4.393946101814202e-05
3.350000000000002e-09,4.393946087004819e-05
3.400000000000002e-09,4.393946072358855e-05
3.450000000000002e-09,4.393946079563272e-05
3.500000000000002e-09,4.393946086767688e-05
3.550000000000002e-09,4.393946093972104e-05
3.600000000000002e-09,4.393946101176521e-05
3.650000000000002e-09,4.393946108380938e-05
3.700000000000002e-09,4.393946115585354e-05
3.750000000000002e-09,4.393946121721467e-05
3.800000000000002e-09,4.393946112046566e-05
3.850000000000001e-09,4.393946102371666e-05
3.900000000000001e-09,4.393946092696766e-05
3.950000000000001e-09,4.393946083021866e-05
4e-09,4.393946073346965e-05
4.05e-09,4.424369462717927e-05
4.099999999999999e-09,4.472484285169269e-05
4.149999999999999e-09,4.471603109935392e-05
4.199999999999999e-09,4.471727012166982e-05
4.249999999999998e-09,4.471734177825701e-05
4.299999999999998e-09,4.47173484447455e-05
4.349999999999998e-09,4.471734989181758e-05
4.399999999999997e-09,4.471734858396611e-05
4.449999999999997e-09,4.471734823978742e-05
4.499999999999996e-09,4.471734943955798e-05
4.549999999999996e-09,4.471734679166126e-05
4.599999999999996e-09,4.471735006593439e-05
4.649999999999995e-09,4.471734570131696e-05
4.699999999999995e-09,4.471735054466009e-05
4.749999999999995e-09,4.471734484662248e-05
4.799999999999994e-09,4.47173508117817e-05
4.849999999999994e-09,4.471735214388457e-05
4.899999999999993e-09,4.471734290391225e-05
4.949999999999993e-09,4.471734744084471e-05
4.999999999999993e-09,4.471735629741553e-05
5.049999999999992e-09,4.413716717057572e-05
5.099999999999992e-09,4.413715338469662e-05
5.149999999999992e-09,4.413701422881379e-05
5.199999999999991e-09,4.413717114782238e-05
5.249999999999991e-09,4.413694902808529e-05
5.29999999999999e-09,4.413690514911937e-05
5.34999999999999e-09,4.413701952965655e-05
5.39999999999999e-09,4.413713391019374e-05
5.449999999999989e-09,4.413724829073093e-05
5.499999999999989e-09,4.413718504531394e-05
5.549999999999988e-09,4.413711592522097e-05
5.599999999999988e-09,4.4137046805128e-05
