/SUB_TOP_R (plaintext=40) X,/SUB_TOP_R (plaintext=40) Y
0,4.429067251882346e-05
5e-11,4.466048546150467e-05
9.999999999999999e-11,4.49608238896744e-05
1.5e-10,4.494537512367604e-05
2e-10,4.49465042706168e-05
2.5e-10,4.494656213115322e-05
2.999999999999999e-10,4.494656378671168e-05
3.499999999999999e-10,4.49465669738604e-05
3.999999999999999e-10,4.494656774013627e-05
4.499999999999999e-10,4.49465664083279e-05
4.999999999999999e-10,4.494656551416026e-05
5.5e-10,4.494656483292619e-05
6e-10,4.49465647419543e-05
6.5e-10,4.494656672001239e-05
7.000000000000001e-10,4.494656518971939e-05
7.500000000000001e-10,4.494656504018314e-05
8.000000000000001e-10,4.494656591907605e-05
8.500000000000002e-10,4.494656679796895e-05
9.000000000000002e-10,4.49465652859365e-05
9.500000000000002e-10,4.494656484900252e-05
1e-09,4.494656597840476e-05
1.05e-09,4.4946567107807e-05
1.1e-09,4.494656677261675e-05
1.15e-09,4.4946566192279e-05
1.2e-09,4.494656561194125e-05
1.25e-09,4.49465650316035e-05
1.3e-09,4.494656445126574e-05
1.350000000000001e-09,4.494656524687914e-05
1.400000000000001e-09,4.494656710148011e-05
1.450000000000001e-09,4.494656652390727e-05
1.500000000000001e-09,4.494656558114009e-05
1.550000000000001e-09,4.494656463837291e-05
1.600000000000001e-09,4.494656450914176e-05
1.650000000000001e-09,4.494656526769536e-05
1.700000000000001e-09,4.494656602624897e-05
1.750000000000001e-09,4.494656678480257e-05
1.800000000000001e-09,4.494656717781256e-05
1.850000000000001e-09,4.494656640746784e-05
1.900000000000001e-09,4.494656563712313e-05
1.950000000000001e-09,4.494656486677841e-05
2.000000000000001e-09,4.494656409643369e-05
2.050000000000001e-09,4.487586093497299e-05
2.100000000000001e-09,4.437767392754548e-05
2.150000000000001e-09,4.429636104714606e-05
2.200000000000001e-09,4.429117242323547e-05
2.250000000000001e-09,4.429068882152393e-05
2.300000000000001e-09,4.429067727808678e-05
2.350000000000001e-09,4.429066875848426e-05
2.400000000000001e-09,4.429067726984277e-05
2.450000000000001e-09,4.429067028210017e-05
2.500000000000001e-09,4.429067566647356e-05
2.550000000000001e-09,4.429067082790811e-05
2.600000000000001e-09,4.429067448584834e-05
2.650000000000001e-09,4.429067134821462e-05
2.700000000000001e-09,4.429067356995684e-05
2.750000000000001e-09,4.429067175217406e-05
2.800000000000001e-09,4.429067285593465e-05
2.850000000000002e-09,4.429067245087981e-05
2.900000000000002e-09,4.42906724584895e-05
2.950000000000002e-09,4.42906726515756e-05
3.000000000000002e-09,4.429067111948834e-05
3.050000000000002e-09,4.429067240339829e-05
3.100000000000002e-09,4.429067368730823e-05
3.150000000000002e-09,4.429067387089965e-05
3.200000000000002e-09,4.429067311293317e-05
3.250000000000002e-09,4.42906723549667e-05
3.300000000000002e-09,4.429067159700021e-05
3.350000000000002e-09,4.429067083903373e-05
