/SUB_TOP_R (plaintext=139) X,/SUB_TOP_R (plaintext=139) Y
0,4.340116329760849e-05
5e-11,4.369243502956909e-05
9.999999999999999e-11,4.430166995527293e-05
1.5e-10,4.430436006924895e-05
2e-10,4.430552231870348e-05
2.5e-10,4.430561981666036e-05
2.999999999999999e-10,4.430558985291548e-05
3.499999999999999e-10,4.430560832160739e-05
3.999999999999999e-10,4.43056061527397e-05
4.499999999999999e-10,4.430559458347214e-05
4.999999999999999e-10,4.430560983687965e-05
5.5e-10,4.43056015860455e-05
6e-10,4.430559740618576e-05
6.5e-10,4.430561242348767e-05
7.000000000000001e-10,4.430559629701029e-05
7.500000000000001e-10,4.430560018518105e-05
8.000000000000001e-10,4.430559745147494e-05
8.500000000000002e-10,4.430560969731904e-05
9.000000000000002e-10,4.43056119519946e-05
9.500000000000002e-10,4.430560586503686e-05
1e-09,4.430559977807912e-05
1.05e-09,4.430559369112138e-05
1.1e-09,4.430559553704543e-05
1.15e-09,4.430560785456839e-05
1.2e-09,4.430561325246296e-05
1.25e-09,4.430560707080669e-05
1.3e-09,4.430560088915043e-05
1.350000000000001e-09,4.430559470749416e-05
1.400000000000001e-09,4.430559120904622e-05
1.450000000000001e-09,4.430559534377753e-05
1.500000000000001e-09,4.430559947850884e-05
1.550000000000001e-09,4.430560361324015e-05
1.600000000000001e-09,4.430560774797146e-05
1.650000000000001e-09,4.430561188270277e-05
1.700000000000001e-09,4.430561494263302e-05
1.750000000000001e-09,4.430561081258355e-05
1.800000000000001e-09,4.430560668253409e-05
1.850000000000001e-09,4.430560255248462e-05
1.900000000000001e-09,4.430559842243516e-05
1.950000000000001e-09,4.430559429238569e-05
2.000000000000001e-09,4.430559016233623e-05
2.050000000000001e-09,4.42613941842057e-05
2.100000000000001e-09,4.343883552176897e-05
2.150000000000001e-09,4.340312003772128e-05
2.200000000000001e-09,4.340130182991719e-05
2.250000000000001e-09,4.340117603890618e-05
2.300000000000001e-09,4.340115648233198e-05
2.350000000000001e-09,4.340116114491547e-05
2.400000000000001e-09,4.340117235327356e-05
2.450000000000001e-09,4.340115543524832e-05
2.500000000000001e-09,4.340116270810192e-05
2.550000000000001e-09,4.340117279820664e-05
2.600000000000001e-09,4.340115345874708e-05
2.650000000000001e-09,4.340116399574618e-05
2.700000000000001e-09,4.340117083163612e-05
2.750000000000001e-09,4.34011544202501e-05
2.800000000000001e-09,4.340116536829516e-05
2.850000000000002e-09,4.340116838351661e-05
2.900000000000002e-09,4.340115552781814e-05
2.950000000000002e-09,4.340116681993633e-05
3.000000000000002e-09,4.340116573291941e-05
3.050000000000002e-09,4.340115673601589e-05
3.100000000000002e-09,4.340116824989688e-05
3.150000000000002e-09,4.340116348125266e-05
3.200000000000002e-09,4.34011586039282e-05
3.250000000000002e-09,4.340116910637126e-05
3.300000000000002e-09,4.34011700856577e-05
3.350000000000002e-09,4.340116495498794e-05
3.400000000000002e-09,4.340115982431818e-05
3.450000000000002e-09,4.340115469364842e-05
3.500000000000002e-09,4.340115635311009e-05
3.550000000000002e-09,4.340115999855705e-05
3.600000000000002e-09,4.340116364400403e-05
3.650000000000002e-09,4.3401167289451e-05
3.700000000000002e-09,4.340117093489797e-05
3.750000000000002e-09,4.340117175784904e-05
3.800000000000002e-09,4.340116810725061e-05
3.850000000000001e-09,4.340116445665218e-05
3.900000000000001e-09,4.340116080605376e-05
3.950000000000001e-09,4.340115715545533e-05
4e-09,4.34011535048569e-05
4.05e-09,4.369877309689966e-05
4.099999999999999e-09,4.430145656153854e-05
4.149999999999999e-09,4.430440630832848e-05
4.199999999999999e-09,4.43055308919699e-05
4.249999999999998e-09,4.430561199753489e-05
4.299999999999998e-09,4.430559685232398e-05
4.349999999999998e-09,4.430561930048864e-05
4.399999999999997e-09,4.430559158915577e-05
4.449999999999997e-09,4.430561212761102e-05
4.499999999999996e-09,4.430559080846779e-05
4.549999999999996e-09,4.430560568729373e-05
4.599999999999996e-09,4.43056037416762e-05
4.649999999999995e-09,4.430559919616712e-05
4.699999999999995e-09,4.430561678785228e-05
4.749999999999995e-09,4.430559269821727e-05
4.799999999999994e-09,4.430559754059683e-05
4.849999999999994e-09,4.430561101925662e-05
4.899999999999993e-09,4.430561286850295e-05
4.949999999999993e-09,4.430559999910199e-05
4.999999999999993e-09,4.430558712970103e-05
5.049999999999992e-09,4.37268706049619e-05
5.099999999999992e-09,4.372681485389722e-05
5.149999999999992e-09,4.372667353966318e-05
5.199999999999991e-09,4.372682904619625e-05
5.249999999999991e-09,4.37266069752838e-05
5.29999999999999e-09,4.372656348937119e-05
5.34999999999999e-09,4.372667730393658e-05
5.39999999999999e-09,4.372679111850197e-05
5.449999999999989e-09,4.372690493306736e-05
5.499999999999989e-09,4.372684530823335e-05
5.549999999999988e-09,4.372677669329487e-05
