/SUB_TOP_R (plaintext=83) X,/SUB_TOP_R (plaintext=83) Y
0,4.378499586215501e-05
5e-11,4.415672325937308e-05
9.999999999999999e-11,4.452236232099278e-05
1.5e-10,4.451671237772019e-05
2e-10,4.451775302109269e-05
2.5e-10,4.4517816148743e-05
2.999999999999999e-10,4.451782567442921e-05
3.499999999999999e-10,4.451782100387296e-05
3.999999999999999e-10,4.451782392948775e-05
4.499999999999999e-10,4.451782250255048e-05
4.999999999999999e-10,4.45178243955834e-05
5.5e-10,4.451782108090825e-05
6e-10,4.451782331764139e-05
6.5e-10,4.451782389763775e-05
7.000000000000001e-10,4.451782083020024e-05
7.500000000000001e-10,4.451782498158569e-05
8.000000000000001e-10,4.451781925786806e-05
8.500000000000002e-10,4.451782303117803e-05
9.000000000000002e-10,4.451782663865266e-05
9.500000000000002e-10,4.451781894356458e-05
1e-09,4.451782352815761e-05
1.05e-09,4.451782640530953e-05
1.1e-09,4.451782409430679e-05
1.15e-09,4.451782178330405e-05
1.2e-09,4.451781947230131e-05
1.25e-09,4.451781920964675e-05
1.3e-09,4.451782055408743e-05
1.350000000000001e-09,4.451782189852811e-05
1.400000000000001e-09,4.451782324296878e-05
1.450000000000001e-09,4.451782458740946e-05
1.500000000000001e-09,4.451782593185014e-05
1.550000000000001e-09,4.451782620215558e-05
1.600000000000001e-09,4.451782246757295e-05
1.650000000000001e-09,4.451781873299033e-05
1.700000000000001e-09,4.451782067453994e-05
1.750000000000001e-09,4.451782318698371e-05
1.800000000000001e-09,4.451782569942748e-05
1.850000000000001e-09,4.451782592190426e-05
1.900000000000001e-09,4.451782339377334e-05
1.950000000000001e-09,4.451782086564241e-05
2.000000000000001e-09,4.451781833751149e-05
2.050000000000001e-09,4.44595386493169e-05
2.100000000000001e-09,4.385889093414136e-05
2.150000000000001e-09,4.378968531769614e-05
2.200000000000001e-09,4.378528021117337e-05
2.250000000000001e-09,4.37850184684854e-05
2.300000000000001e-09,4.378499639412265e-05
2.350000000000001e-09,4.378499023329296e-05
