/SUB_TOP_R (plaintext=78) X,/SUB_TOP_R (plaintext=78) Y
0,4.401244688729448e-05
5e-11,4.439372272900469e-05
9.999999999999999e-11,4.466537704720583e-05
1.5e-10,4.464920779848559e-05
2e-10,4.465032581365623e-05
2.5e-10,4.465037667413606e-05
2.999999999999999e-10,4.465037974834673e-05
3.499999999999999e-10,4.465037690100172e-05
3.999999999999999e-10,4.465038038370864e-05
4.499999999999999e-10,4.465037723089342e-05
4.999999999999999e-10,4.465038078715771e-05
5.5e-10,4.465037770714735e-05
6e-10,4.465038078571974e-05
6.5e-10,4.465037815954452e-05
7.000000000000001e-10,4.465037991843635e-05
7.500000000000001e-10,4.465037857105123e-05
8.000000000000001e-10,4.465037914409765e-05
8.500000000000002e-10,4.465037889122519e-05
9.000000000000002e-10,4.465037842635259e-05
9.500000000000002e-10,4.465037922347953e-05
1e-09,4.465037726598845e-05
1.05e-09,4.465037849983444e-05
1.1e-09,4.465037973368043e-05
1.15e-09,4.465037975309032e-05
1.2e-09,4.465037722196876e-05
1.25e-09,4.465037859323e-05
1.3e-09,4.465037996449125e-05
1.350000000000001e-09,4.465038015565549e-05
1.400000000000001e-09,4.465037947633908e-05
1.450000000000001e-09,4.465037879702266e-05
1.500000000000001e-09,4.465037811770625e-05
1.550000000000001e-09,4.465037743838984e-05
1.600000000000001e-09,4.465037740726546e-05
1.650000000000001e-09,4.465037779728238e-05
1.700000000000001e-09,4.465037818729932e-05
1.750000000000001e-09,4.465037857731624e-05
1.800000000000001e-09,4.465037896733317e-05
1.850000000000001e-09,4.465037935735009e-05
1.900000000000001e-09,4.465037974736702e-05
1.950000000000001e-09,4.465038013738395e-05
2.000000000000001e-09,4.465038052740088e-05
2.050000000000001e-09,4.45793670317152e-05
2.100000000000001e-09,4.410283563934606e-05
2.150000000000001e-09,4.401843880190729e-05
2.200000000000001e-09,4.401297011702709e-05
2.250000000000001e-09,4.401246622110562e-05
2.300000000000001e-09,4.401245191106998e-05
2.350000000000001e-09,4.401244174841418e-05
2.400000000000001e-09,4.401245147613483e-05
2.450000000000001e-09,4.401244305312991e-05
2.500000000000001e-09,4.401245047551386e-05
2.550000000000001e-09,4.401244337998228e-05
2.600000000000001e-09,4.401244995183934e-05
2.650000000000001e-09,4.401244373178543e-05
2.700000000000001e-09,4.401244953156007e-05
2.750000000000001e-09,4.40124440110071e-05
2.800000000000001e-09,4.401244928832972e-05
2.850000000000002e-09,4.401244489023784e-05
2.900000000000002e-09,4.401244877177406e-05
2.950000000000002e-09,4.401244527879604e-05
3.000000000000002e-09,4.401244603543245e-05
3.050000000000002e-09,4.401244770097414e-05
3.100000000000002e-09,4.401244892826573e-05
3.150000000000002e-09,4.401244793655318e-05
3.200000000000002e-09,4.401244694484063e-05
3.250000000000002e-09,4.401244595312807e-05
3.300000000000002e-09,4.401244496141552e-05
3.350000000000002e-09,4.40124470608421e-05
3.400000000000002e-09,4.40124497939392e-05
3.450000000000002e-09,4.401244808452886e-05
3.500000000000002e-09,4.401244637511853e-05
3.550000000000002e-09,4.40124446657082e-05
3.600000000000002e-09,4.401244481279782e-05
3.650000000000002e-09,4.401244614517634e-05
3.700000000000002e-09,4.401244747755485e-05
3.750000000000002e-09,4.401244880993337e-05
3.800000000000002e-09,4.401244932188381e-05
3.850000000000001e-09,4.401244796579582e-05
3.900000000000001e-09,4.401244660970783e-05
3.950000000000001e-09,4.401244525361983e-05
4e-09,4.401244389753184e-05
4.05e-09,4.439195040425026e-05
4.099999999999999e-09,4.466589225749104e-05
4.149999999999999e-09,4.464920363434876e-05
4.199999999999999e-09,4.465033454508035e-05
4.249999999999998e-09,4.46503753815589e-05
4.299999999999998e-09,4.46503814368419e-05
4.349999999999998e-09,4.465037339293053e-05
4.399999999999997e-09,4.465038078810876e-05
4.449999999999997e-09,4.465037553350519e-05
4.499999999999996e-09,4.465038008724604e-05
4.549999999999996e-09,4.465037637819176e-05
4.599999999999996e-09,4.465037981640627e-05
4.649999999999995e-09,4.465037677998774e-05
4.699999999999995e-09,4.465037966969663e-05
4.749999999999995e-09,4.465037701386058e-05
4.799999999999994e-09,4.46503796530366e-05
4.849999999999994e-09,4.46503775614793e-05
4.899999999999993e-09,4.465037920665391e-05
4.949999999999993e-09,4.46503793686093e-05
4.999999999999993e-09,4.465037794474214e-05
5.049999999999992e-09,4.40691344311904e-05
5.099999999999992e-09,4.406917132640816e-05
5.149999999999992e-09,4.406904850010636e-05
5.199999999999991e-09,4.406919325690759e-05
5.249999999999991e-09,4.40689663599049e-05
5.29999999999999e-09,4.406893722057332e-05
5.34999999999999e-09,4.40690553448219e-05
5.39999999999999e-09,4.406917346907048e-05
5.449999999999989e-09,4.406927519359246e-05
5.499999999999989e-09,4.40692035128898e-05
5.549999999999988e-09,4.406913183218714e-05
5.599999999999988e-09,4.406906015148448e-05
5.649999999999988e-09,4.406898847078181e-05
5.699999999999987e-09,4.406891679007915e-05
5.749999999999987e-09,4.406889537264144e-05
5.799999999999987e-09,4.406897260914123e-05
5.849999999999986e-09,4.406904984564103e-05
5.899999999999986e-09,4.406912708214083e-05
5.949999999999985e-09,4.406920431864063e-05
5.999999999999985e-09,4.406928155514042e-05
6.049999999999985e-09,4.403258933547531e-05
6.099999999999984e-09,4.320694240539265e-05
6.149999999999984e-09,4.312181911554041e-05
6.199999999999984e-09,4.311629128123161e-05
6.249999999999983e-09,4.311582462259232e-05
6.299999999999983e-09,4.311575855685153e-05
6.349999999999982e-09,4.311578160566718e-05
6.399999999999982e-09,4.311579209003128e-05
6.449999999999982e-09,4.311576546267259e-05
6.499999999999981e-09,4.311579621568316e-05
6.549999999999981e-09,4.311575725837887e-05
6.599999999999981e-09,4.311578195036162e-05
6.64999999999998e-09,4.311578559464541e-05
6.69999999999998e-09,4.311576786528996e-05
6.749999999999979e-09,4.311579818839488e-05
6.799999999999979e-09,4.311575403460586e-05
6.849999999999979e-09,4.311578407676056e-05
6.899999999999978e-09,4.311578112726281e-05
6.949999999999978e-09,4.311577018989037e-05
6.999999999999977e-09,4.311579979456803e-05
7.049999999999977e-09,4.311575687214906e-05
7.099999999999977e-09,4.311578593651609e-05
7.149999999999976e-09,4.311579593412718e-05
7.199999999999976e-09,4.311578173033056e-05
7.249999999999976e-09,4.311576752653394e-05
7.299999999999975e-09,4.311575697304631e-05
7.349999999999975e-09,4.311576614393727e-05
7.399999999999974e-09,4.311577531482822e-05
7.449999999999974e-09,4.311578448571919e-05
7.499999999999975e-09,4.311579365661014e-05
7.549999999999975e-09,4.31158001983869e-05
7.599999999999975e-09,4.311578002267847e-05
7.649999999999976e-09,4.311575984697004e-05
7.699999999999976e-09,4.311576689344745e-05
7.749999999999977e-09,4.311578002962869e-05
7.799999999999977e-09,4.311579316580993e-05
7.849999999999978e-09,4.311579563844654e-05
7.899999999999978e-09,4.311578267658965e-05
7.949999999999979e-09,4.311576971473276e-05
7.999999999999979e-09,4.311575675287587e-05
8.049999999999979e-09,4.345196708600148e-05
8.09999999999998e-09,4.730106431229465e-05
8.14999999999998e-09,4.850605491795871e-05
8.199999999999981e-09,4.850579139751717e-05
8.249999999999981e-09,4.850564069665631e-05
8.299999999999982e-09,4.850561340176457e-05
8.349999999999982e-09,4.850561327917422e-05
8.399999999999983e-09,4.85056343798836e-05
8.449999999999983e-09,4.850562097961126e-05
8.499999999999983e-09,4.8505610071449e-05
8.549999999999984e-09,4.850563205041342e-05
8.599999999999984e-09,4.850562643403267e-05
8.649999999999985e-09,4.850560691910348e-05
8.699999999999985e-09,4.850562958475405e-05
8.749999999999986e-09,4.850563220833177e-05
8.799999999999986e-09,4.850560363195933e-05
8.849999999999987e-09,4.850562694669035e-05
8.899999999999987e-09,4.850563828302786e-05
8.949999999999987e-09,4.850560021125042e-05
8.999999999999988e-09,4.850562414801029e-05
9.049999999999988e-09,4.850564464304669e-05
9.099999999999989e-09,4.850559666492095e-05
9.149999999999989e-09,4.850562118877017e-05
9.19999999999999e-09,4.850564571261938e-05
9.24999999999999e-09,4.850560164792257e-05
9.299999999999991e-09,4.850561810205298e-05
9.349999999999991e-09,4.85056431741808e-05
9.399999999999992e-09,4.850563800777789e-05
9.449999999999992e-09,4.850562542848454e-05
9.499999999999992e-09,4.850561284919119e-05
9.549999999999993e-09,4.850560026989782e-05
9.599999999999993e-09,4.850560352462326e-05
9.649999999999994e-09,4.850561567917414e-05
9.699999999999994e-09,4.850562783372502e-05
9.749999999999995e-09,4.850563998827591e-05
9.799999999999995e-09,4.850564433472561e-05
9.849999999999996e-09,4.850563209567678e-05
9.899999999999996e-09,4.850561985662795e-05
9.949999999999996e-09,4.850560761757911e-05
9.999999999999997e-09,4.850559537853028e-05
1.005e-08,4.855575868608339e-05
1.01e-08,4.808719848369659e-05
1.015e-08,4.807472719504338e-05
1.02e-08,4.807419368989455e-05
1.025e-08,4.807415885389942e-05
1.03e-08,4.80741592938271e-05
1.035e-08,4.807414990480103e-05
1.04e-08,4.807415646389177e-05
1.045e-08,4.807416302298251e-05
1.05e-08,4.807415860995476e-05
1.055e-08,4.807415022625436e-05
1.06e-08,4.807415693088764e-05
1.065e-08,4.807416363552093e-05
1.07e-08,4.807415784975773e-05
1.075e-08,4.807415094278734e-05
1.08e-08,4.807415742205092e-05
1.085e-08,4.807416390131451e-05
1.09e-08,4.807415689029835e-05
1.095000000000001e-08,4.807415164075243e-05
1.100000000000001e-08,4.807415788642599e-05
1.105000000000001e-08,4.807416413209953e-05
1.110000000000001e-08,4.807415599194706e-05
1.115000000000001e-08,4.807415230416878e-05
1.120000000000001e-08,4.807415834192649e-05
1.125000000000001e-08,4.807416437968421e-05
1.130000000000001e-08,4.807415513790835e-05
1.135000000000001e-08,4.807415288982083e-05
1.140000000000001e-08,4.807415875649192e-05
1.145000000000001e-08,4.807416462316302e-05
1.150000000000001e-08,4.807416232080528e-05
1.155000000000001e-08,4.80741593692385e-05
1.160000000000001e-08,4.807415641767172e-05
1.165000000000001e-08,4.807415346610494e-05
1.170000000000001e-08,4.807415051453816e-05
1.175000000000001e-08,4.807415148668905e-05
1.180000000000001e-08,4.80741542007102e-05
1.185000000000001e-08,4.807415691473134e-05
1.190000000000001e-08,4.807415962875249e-05
1.195000000000001e-08,4.807416234277364e-05
1.200000000000001e-08,4.807416505679479e-05
1.205000000000002e-08,4.824785093150011e-05
1.210000000000002e-08,4.852397311588388e-05
1.215000000000002e-08,4.850726208074284e-05
1.220000000000002e-08,4.850569384561654e-05
1.225000000000002e-08,4.85056243085551e-05
1.230000000000002e-08,4.850562180719288e-05
1.235000000000002e-08,4.850562147707224e-05
1.240000000000002e-08,4.850562184864146e-05
1.245000000000002e-08,4.850562228532738e-05
1.250000000000002e-08,4.85056227220133e-05
1.255000000000002e-08,4.850562259011961e-05
1.260000000000002e-08,4.850562232049295e-05
1.265000000000002e-08,4.850562205086629e-05
1.270000000000002e-08,4.850562178123963e-05
1.275000000000002e-08,4.850562151161297e-05
1.280000000000002e-08,4.85056212419863e-05
1.285000000000002e-08,4.850562143179134e-05
1.290000000000002e-08,4.850562194774617e-05
1.295000000000002e-08,4.8505622463701e-05
1.300000000000002e-08,4.850562261648815e-05
1.305000000000002e-08,4.850562236747131e-05
1.310000000000002e-08,4.850562211845447e-05
1.315000000000003e-08,4.850562186943762e-05
1.320000000000003e-08,4.850562162042078e-05
1.325000000000003e-08,4.850562137140394e-05
1.330000000000003e-08,4.850562124332849e-05
1.335000000000003e-08,4.850562146937491e-05
1.340000000000003e-08,4.850562169542134e-05
1.345000000000003e-08,4.850562192146777e-05
1.350000000000003e-08,4.85056221475142e-05
1.355000000000003e-08,4.850562237356064e-05
