/SUB_TOP_R (plaintext=231) X,/SUB_TOP_R (plaintext=231) Y
0,4.324073059007059e-05
5e-11,4.356619130867286e-05
9.999999999999999e-11,4.399757155771289e-05
1.5e-10,4.398925921743447e-05
2e-10,4.399041420240343e-05
2.5e-10,4.399048812229163e-05
2.999999999999999e-10,4.399049184285378e-05
3.499999999999999e-10,4.399048920893052e-05
3.999999999999999e-10,4.399048745213099e-05
4.499999999999999e-10,4.399048834763322e-05
4.999999999999999e-10,4.399048920166508e-05
5.5e-10,4.39904883021774e-05
6e-10,4.399048817505306e-05
6.5e-10,4.399048970690685e-05
7.000000000000001e-10,4.399048761633936e-05
7.500000000000001e-10,4.39904885245165e-05
8.000000000000001e-10,4.399048993719536e-05
8.500000000000002e-10,4.399048748695159e-05
9.000000000000002e-10,4.399048888370864e-05
9.500000000000002e-10,4.399048910434472e-05
1e-09,4.399048803721711e-05
1.05e-09,4.399048935110179e-05
1.1e-09,4.399048854017648e-05
1.15e-09,4.399048841204265e-05
1.2e-09,4.399048956405604e-05
1.25e-09,4.399048931695999e-05
1.3e-09,4.399048876818193e-05
1.350000000000001e-09,4.399048821940387e-05
1.400000000000001e-09,4.399048779668556e-05
1.450000000000001e-09,4.399048797763912e-05
1.500000000000001e-09,4.399048815859268e-05
1.550000000000001e-09,4.399048833954625e-05
1.600000000000001e-09,4.399048852049981e-05
1.650000000000001e-09,4.399048870145338e-05
1.700000000000001e-09,4.399048888240694e-05
1.750000000000001e-09,4.399048906336051e-05
1.800000000000001e-09,4.399048906103135e-05
1.850000000000001e-09,4.399048903203887e-05
1.900000000000001e-09,4.399048900304639e-05
1.950000000000001e-09,4.399048897405391e-05
2.000000000000001e-09,4.399048894506142e-05
2.050000000000001e-09,4.393764773056201e-05
2.100000000000001e-09,4.33092956200153e-05
2.150000000000001e-09,4.32452457353957e-05
2.200000000000001e-09,4.324111325570104e-05
2.250000000000001e-09,4.324075648591728e-05
2.300000000000001e-09,4.3240719055556e-05
2.350000000000001e-09,4.324073165926362e-05
2.400000000000001e-09,4.324073369486661e-05
2.450000000000001e-09,4.324072769949387e-05
2.500000000000001e-09,4.324073797378953e-05
2.550000000000001e-09,4.324072575548912e-05
2.600000000000001e-09,4.324073343068972e-05
2.650000000000001e-09,4.324072844250787e-05
2.700000000000001e-09,4.324073068013064e-05
2.750000000000001e-09,4.324073263328932e-05
2.800000000000001e-09,4.324072913118793e-05
2.850000000000002e-09,4.324073345639036e-05
2.900000000000002e-09,4.324072835899577e-05
2.950000000000002e-09,4.324073133254778e-05
3.000000000000002e-09,4.324073027719209e-05
3.050000000000002e-09,4.324073036059322e-05
3.100000000000002e-09,4.324073176822045e-05
3.150000000000002e-09,4.324073097079338e-05
3.200000000000002e-09,4.324073017336632e-05
3.250000000000002e-09,4.324072939466611e-05
3.300000000000002e-09,4.324072991358403e-05
3.350000000000002e-09,4.324073043250196e-05
3.400000000000002e-09,4.324073095141988e-05
3.450000000000002e-09,4.32407314703378e-05
3.500000000000002e-09,4.324073198925573e-05
3.550000000000002e-09,4.324073250817366e-05
3.600000000000002e-09,4.324073106621832e-05
3.650000000000002e-09,4.324072886316931e-05
